Ejecucion,Tiempo_Codigo_Segundos,Tiempo_Perf_Segundos,Ciclos,Instrucciones,IPC,Cache_References,Cache_Misses,Cache_Miss_Rate
1,1.700051,1.703374993,<not,<not,,<not,<not,
2,1.695842,1.699030048,<not,<not,,<not,<not,
3,1.714810,1.718124925,<not,<not,,<not,<not,
4,1.699072,1.702134419,<not,<not,,<not,<not,
5,1.699481,1.702505041,<not,<not,,<not,<not,
