Ejecucion,Tiempo_Codigo_Segundos,Tiempo_Perf_Segundos,Ciclos,Instrucciones,IPC,Cache_References,Cache_Misses,Cache_Miss_Rate
1,0.066137,0.067012236,<not,<not,,<not,<not,
2,0.066252,0.067183961,<not,<not,,<not,<not,
3,0.066191,0.067069669,<not,<not,,<not,<not,
4,0.066237,0.067185543,<not,<not,,<not,<not,
5,0.066172,0.067035332,<not,<not,,<not,<not,
