Ejecucion,Tiempo_Codigo_Segundos,Tiempo_Perf_Segundos,Ciclos,Instrucciones,IPC,Cache_References,Cache_Misses,Cache_Miss_Rate
1,17.979187,18.002814099,<not,<not,,<not,<not,
2,18.593521,18.616206475,<not,<not,,<not,<not,
3,17.946932,17.970336910,<not,<not,,<not,<not,
4,18.056854,18.080895763,<not,<not,,<not,<not,
5,18.244838,18.268339889,<not,<not,,<not,<not,
