Ejecucion,Tiempo_Codigo_Segundos,Tiempo_Perf_Segundos,Ciclos,Instrucciones,IPC,Cache_References,Cache_Misses,Cache_Miss_Rate
1,191.790454,192.338010441,<not,<not,,<not,<not,
2,182.808614,183.032983055,<not,<not,,<not,<not,
3,181.606147,181.827104520,<not,<not,,<not,<not,
4,182.998436,183.218536277,<not,<not,,<not,<not,
5,182.694304,182.915087198,<not,<not,,<not,<not,
