exp,trial,num_trials,threads,crosses,P,tiempo
8,0,1,100000000,32,63662176,0.6366217600,0.312055
8,0,2,100000000,32,63662176,0.6366217600,0.325298
8,0,3,100000000,32,63664644,0.6366464400,0.318918
8,0,4,100000000,32,63664644,0.6366464400,0.316792
8,0,5,100000000,32,63664644,0.6366464400,0.314880
8,5,1,316227766,32,201310186,0.6365987040,0.989373
8,5,2,316227766,32,201315654,0.6366159953,1.007615
8,5,3,316227766,32,201306629,0.6365874558,0.991607
8,5,4,316227766,32,201323349,0.6366403290,0.984551
8,5,5,316227766,32,201329804,0.6366607415,0.997577
9,0,1,1000000000,32,636626028,0.6366260280,3.145700
9,0,2,1000000000,32,636609852,0.6366098520,3.125444
9,0,3,1000000000,32,636611001,0.6366110010,3.154933
9,0,4,1000000000,32,636617484,0.6366174840,3.119313
9,0,5,1000000000,32,636617652,0.6366176520,3.142996
9,5,1,3162277660,32,2013156186,0.6366158834,9.946694
9,5,2,3162277660,32,2013171799,0.6366208206,9.967516
9,5,3,3162277660,32,2013158053,0.6366164738,9.929859
9,5,4,3162277660,32,2013148648,0.6366134997,9.909723
9,5,5,3162277660,32,2013185767,0.6366252377,9.894447
10,0,1,10000000000,32,6366188379,0.6366188379,31.395033
10,0,2,10000000000,32,6366188589,0.6366188589,31.602023
10,0,3,10000000000,32,6366181478,0.6366181478,31.332621
10,0,4,10000000000,32,6366194448,0.6366194448,31.484756
10,0,5,10000000000,32,6366197751,0.6366197751,31.155456
10,5,1,31622776602,32,20131680824,0.6366196453,99.306944
10,5,2,31622776602,32,20131681410,0.6366196638,98.790969
10,5,3,31622776602,32,20131680132,0.6366196234,98.627193
10,5,4,31622776602,32,20131679638,0.6366196078,98.823596
10,5,5,31622776602,32,20131678946,0.6366195859,99.098439
11,0,1,100000000000,32,63661963535,0.6366196353,312.147071
11,0,2,100000000000,32,63661962974,0.6366196297,311.413304
11,0,3,100000000000,32,63661972805,0.6366197280,312.320025
11,0,4,100000000000,32,63661957313,0.6366195731,312.149025
11,0,5,100000000000,32,63661956848,0.6366195685,313.897648
