exp,trial,num_trials,threads,crosses,P,tiempo
8,0,1,100000000,32,63659684,0.6365968400,0.213485
8,0,2,100000000,32,63659684,0.6365968400,0.210807
8,0,3,100000000,32,63659684,0.6365968400,0.218767
8,0,4,100000000,32,63658355,0.6365835500,0.217861
8,0,5,100000000,32,63658355,0.6365835500,0.226273
8,0,6,100000000,32,63658312,0.6365831200,0.216551
8,0,7,100000000,32,63659690,0.6365969000,0.215884
8,0,8,100000000,32,63658425,0.6365842500,0.220106
8,0,9,100000000,32,63659702,0.6365970200,0.218992
8,0,10,100000000,32,63659511,0.6365951100,0.219753
8,5,1,316227766,32,201315032,0.6366140284,0.687459
8,5,2,316227766,32,201327351,0.6366529845,0.694935
8,5,3,316227766,32,201322914,0.6366389535,0.722150
8,5,4,316227766,32,201322914,0.6366389535,0.722371
8,5,5,316227766,32,201316532,0.6366187718,0.742374
8,5,6,316227766,32,201316745,0.6366194912,0.736152
8,5,7,316227766,32,201318128,0.6366242702,0.713295
8,5,8,316227766,32,201317021,0.6366203827,0.726843
8,5,9,316227766,32,201315987,0.6366171090,0.741258
8,5,10,316227766,32,201316899,0.6366199943,0.719684
9,0,1,1000000000,32,636610859,0.6366108590,2.192330
9,0,2,1000000000,32,636626435,0.6366264350,2.186607
9,0,3,1000000000,32,636614715,0.6366147150,2.187969
9,0,4,1000000000,32,636627137,0.6366271370,2.181283
9,0,5,1000000000,32,636626307,0.6366263070,2.195836
9,0,6,1000000000,32,636617234,0.6366172340,2.183927
9,0,7,1000000000,32,636626011,0.6366260110,2.198214
9,0,8,1000000000,32,636618452,0.6366184520,2.190606
9,0,9,1000000000,32,636615908,0.6366159080,2.196829
9,0,10,1000000000,32,636627020,0.6366270200,2.184015
9,5,1,3162277660,32,2013192512,0.6366273707,7.088613
9,5,2,3162277660,32,2013168233,0.6366196930,7.008077
9,5,3,3162277660,32,2013180818,0.6366236727,7.099465
9,5,4,3162277660,32,2013166195,0.6366190485,7.124893
9,5,5,3162277660,32,2013155490,0.6366156633,7.059595
9,5,6,3162277660,32,2013173298,0.6366213924,7.083115
9,5,7,3162277660,32,2013164920,0.6366186520,7.112073
9,5,8,3162277660,32,2013182241,0.6366241237,7.064982
9,5,9,3162277660,32,2013159842,0.6366170441,7.095472
9,5,10,3162277660,32,2013167450,0.6366194470,7.086391
10,0,1,10000000000,32,6366190676,0.6366190676,22.285778
10,0,2,10000000000,32,6366194198,0.6366194198,22.038327
10,0,3,10000000000,32,6366205906,0.6366205906,22.002702
10,0,4,10000000000,32,6366199367,0.6366199367,21.995570
10,0,5,10000000000,32,6366206053,0.6366206053,22.119761
10,0,6,10000000000,32,6366197432,0.6366197432,22.064284
10,0,7,10000000000,32,6366201897,0.6366201897,22.124908
10,0,8,10000000000,32,6366198410,0.6366198410,21.983614
10,0,9,10000000000,32,6366204521,0.6366204521,22.097521
10,0,10,10000000000,32,6366193120,0.6366193120,22.012385
10,5,1,31622776602,32,20131696489,0.6366201407,69.983685
10,5,2,31622776602,32,20131674528,0.6366194462,70.006224
10,5,3,31622776602,32,20131692946,0.6366200286,70.403953
10,5,4,31622776602,32,20131683463,0.6366197288,69.929606
10,5,5,31622776602,32,20131675514,0.6366194774,69.816249
10,5,6,31622776602,32,20131691875,0.6366199921,70.235611
10,5,7,31622776602,32,20131678321,0.6366195617,69.954227
10,5,8,31622776602,32,20131690104,0.6366199362,70.142308
10,5,9,31622776602,32,20131669248,0.6366192723,70.058499
10,5,10,31622776602,32,20131698590,0.6366202093,70.316444
11,0,1,100000000000,32,63661955283,0.6366195528,223.397033
11,0,2,100000000000,32,63661974813,0.6366197481,221.103987
11,0,3,100000000000,32,63661964746,0.6366196475,220.649203
11,0,4,100000000000,32,63661943120,0.6366194312,220.987785
11,0,5,100000000000,32,63661968129,0.6366196813,220.516882
11,0,6,100000000000,32,63661971245,0.6366197125,222.347815
11,0,7,100000000000,32,63661968214,0.6366196821,223.105296
11,0,8,100000000000,32,63661974590,0.6366197459,221.842507
11,0,9,100000000000,32,63661965987,0.6366196599,222.914008
11,0,10,100000000000,32,63661972645,0.6366197265,220.773621
