exp,trial,num_trials,threads,crosses,P,tiempo
8,0,1,100000000,4,63660291,0.6366029100,0.738586
8,0,2,100000000,4,63667442,0.6366744200,0.727731
8,0,3,100000000,4,63667442,0.6366744200,0.732701
8,0,4,100000000,4,63661292,0.6366129200,0.736173
8,0,5,100000000,4,63660382,0.6366038200,0.733796
8,5,1,316227766,4,201320235,0.6366304817,2.324235
8,5,2,316227766,4,201317582,0.6366220922,2.339539
8,5,3,316227766,4,201314393,0.6366120077,2.330378
8,5,4,316227766,4,201321373,0.6366340804,2.312934
8,5,5,316227766,4,201317104,0.6366205806,2.337349
9,0,1,1000000000,4,636617236,0.6366172360,7.423809
9,0,2,1000000000,4,636621840,0.6366218400,7.398494
9,0,3,1000000000,4,636618094,0.6366180940,7.545323
9,0,4,1000000000,4,636620471,0.6366204710,7.418349
9,0,5,1000000000,4,636617231,0.6366172310,7.456210
9,5,1,3162277660,4,2013167378,0.6366194226,23.335086
9,5,2,3162277660,4,2013166004,0.6366189881,23.455783
9,5,3,3162277660,4,2013169304,0.6366200317,23.584648
9,5,4,3162277660,4,2013167127,0.6366193432,23.643556
9,5,5,3162277660,4,2013167310,0.6366194011,23.425667
10,0,1,10000000000,4,6366199278,0.6366199278,75.092245
10,0,2,10000000000,4,6366197316,0.6366197316,74.548647
10,0,3,10000000000,4,6366192450,0.6366192450,74.228466
10,0,4,10000000000,4,6366197608,0.6366197608,73.949987
10,0,5,10000000000,4,6366199628,0.6366199628,74.185103
10,5,1,31622776602,4,20131679729,0.6366196107,236.538350
10,5,2,31622776602,4,20131678343,0.6366195669,239.113427
10,5,3,31622776602,4,20131682120,0.6366196863,234.868545
10,5,4,31622776602,4,20131677925,0.6366195536,237.841237
10,5,5,31622776602,4,20131682219,0.6366196894,233.855991
11,0,1,100000000000,4,63661963248,0.6366196325,743.400727
11,0,2,100000000000,4,63661963216,0.6366196322,743.336406
11,0,3,100000000000,4,63661961022,0.6366196102,738.738358
11,0,4,100000000000,4,63661960185,0.6366196018,744.030822
11,0,5,100000000000,4,63661962049,0.6366196205,742.926625
