exp,trial,num_trials,threads,crosses,P,tiempo
8,0,1,100000000,8,63668627,0.6366862700,0.309512
8,0,2,100000000,8,63665561,0.6366556100,0.306265
8,0,3,100000000,8,63665561,0.6366556100,0.306494
8,0,4,100000000,8,63665561,0.6366556100,0.308802
8,0,5,100000000,8,63657509,0.6365750900,0.304256
8,0,6,100000000,8,63657509,0.6365750900,0.304826
8,0,7,100000000,8,63657509,0.6365750900,0.308141
8,0,8,100000000,8,63664613,0.6366461300,0.306758
8,0,9,100000000,8,63664613,0.6366461300,0.304421
8,0,10,100000000,8,63664613,0.6366461300,0.306718
8,5,1,316227766,8,201319499,0.6366281543,0.960813
8,5,2,316227766,8,201319499,0.6366281543,0.963961
8,5,3,316227766,8,201317186,0.6366208399,0.957408
8,5,4,316227766,8,201316436,0.6366184682,0.932716
8,5,5,316227766,8,201319235,0.6366273194,0.972121
8,5,6,316227766,8,201317207,0.6366209063,0.947759
8,5,7,316227766,8,201320776,0.6366321925,0.962533
8,5,8,316227766,8,201318463,0.6366248782,0.948673
8,5,9,316227766,8,201321169,0.6366334353,0.958787
8,5,10,316227766,8,201319034,0.6366266838,0.950063
9,0,1,1000000000,8,636621440,0.6366214400,3.026810
9,0,2,1000000000,8,636625226,0.6366252260,3.075238
9,0,3,1000000000,8,636620965,0.6366209650,3.067669
9,0,4,1000000000,8,636617601,0.6366176010,3.061461
9,0,5,1000000000,8,636622103,0.6366221030,2.985138
9,0,6,1000000000,8,636621642,0.6366216420,3.033090
9,0,7,1000000000,8,636622187,0.6366221870,2.989092
9,0,8,1000000000,8,636615267,0.6366152670,2.995755
9,0,9,1000000000,8,636622067,0.6366220670,2.997604
9,0,10,1000000000,8,636619364,0.6366193640,3.065841
9,5,1,3162277660,8,2013168420,0.6366197521,9.452622
9,5,2,3162277660,8,2013170335,0.6366203577,9.453830
9,5,3,3162277660,8,2013168738,0.6366198527,9.465131
9,5,4,3162277660,8,2013165608,0.6366188629,9.466430
9,5,5,3162277660,8,2013173169,0.6366212539,9.600393
9,5,6,3162277660,8,2013172279,0.6366209724,9.352563
9,5,7,3162277660,8,2013170441,0.6366203912,9.474778
9,5,8,3162277660,8,2013166642,0.6366191899,9.468072
9,5,9,3162277660,8,2013164002,0.6366183550,9.473268
9,5,10,3162277660,8,2013163406,0.6366181665,9.484452
10,0,1,10000000000,8,6366189278,0.6366189278,30.030328
10,0,2,10000000000,8,6366189656,0.6366189656,30.038095
10,0,3,10000000000,8,6366196494,0.6366196494,30.002467
10,0,4,10000000000,8,6366199929,0.6366199929,30.498733
10,0,5,10000000000,8,6366192556,0.6366192556,30.522894
10,0,6,10000000000,8,6366197762,0.6366197762,30.042122
10,0,7,10000000000,8,6366198448,0.6366198448,30.158422
10,0,8,10000000000,8,6366192206,0.6366192206,30.148123
10,0,9,10000000000,8,6366201404,0.6366201404,30.192635
10,0,10,10000000000,8,6366196847,0.6366196847,30.129974
10,5,1,31622776602,8,20131679529,0.6366196044,95.406855
10,5,2,31622776602,8,20131677532,0.6366195412,94.858555
10,5,3,31622776602,8,20131680891,0.6366196474,95.414354
10,5,4,31622776602,8,20131680331,0.6366196297,95.425258
10,5,5,31622776602,8,20131670345,0.6366193139,95.397025
10,5,6,31622776602,8,20131679080,0.6366195902,94.933091
10,5,7,31622776602,8,20131677957,0.6366195546,96.547084
10,5,8,31622776602,8,20131682871,0.6366197100,94.888875
10,5,9,31622776602,8,20131682806,0.6366197080,97.251058
10,5,10,31622776602,8,20131676310,0.6366195026,94.744967
11,0,1,100000000000,8,63661965956,0.6366196596,307.618424
11,0,2,100000000000,8,63661963939,0.6366196394,303.278455
11,0,3,100000000000,8,63661963410,0.6366196341,298.809353
11,0,4,100000000000,8,63661965721,0.6366196572,300.909081
11,0,5,100000000000,8,63661960982,0.6366196098,302.216420
11,0,6,100000000000,8,63661958683,0.6366195868,300.505940
11,0,7,100000000000,8,63661959806,0.6366195981,301.609972
11,0,8,100000000000,8,63661959130,0.6366195913,301.339112
11,0,9,100000000000,8,63661959590,0.6366195959,300.905952
11,0,10,100000000000,8,63661966760,0.6366196676,305.373379
