exp,trial,num_trials,threads,crosses,P,tiempo
8,0,1,100000000,16,63655452,0.6365545200,0.359496
8,0,2,100000000,16,63655452,0.6365545200,0.368274
8,0,3,100000000,16,63655452,0.6365545200,0.361227
8,0,4,100000000,16,63668731,0.6366873100,0.358920
8,0,5,100000000,16,63668731,0.6366873100,0.372129
8,5,1,316227766,16,201314274,0.6366116314,1.100326
8,5,2,316227766,16,201320477,0.6366312470,1.114716
8,5,3,316227766,16,201316829,0.6366197110,1.115978
8,5,4,316227766,16,201319382,0.6366277843,1.126202
8,5,5,316227766,16,201310709,0.6366003579,1.115520
9,0,1,1000000000,16,636618623,0.6366186230,3.348652
9,0,2,1000000000,16,636624288,0.6366242880,3.330872
9,0,3,1000000000,16,636620179,0.6366201790,3.321832
9,0,4,1000000000,16,636618332,0.6366183320,3.315594
9,0,5,1000000000,16,636618940,0.6366189400,3.255980
9,5,1,3162277660,16,2013170284,0.6366203416,10.136050
9,5,2,3162277660,16,2013172959,0.6366211875,10.172646
9,5,3,3162277660,16,2013167209,0.6366193692,10.065420
9,5,4,3162277660,16,2013165613,0.6366188645,10.251951
9,5,5,3162277660,16,2013163939,0.6366183351,10.154395
10,0,1,10000000000,16,6366188552,0.6366188552,31.543181
10,0,2,10000000000,16,6366208836,0.6366208836,31.787063
10,0,3,10000000000,16,6366201215,0.6366201215,31.203638
10,0,4,10000000000,16,6366201789,0.6366201789,32.178406
10,0,5,10000000000,16,6366195978,0.6366195978,31.725552
10,5,1,31622776602,16,20131688335,0.6366198828,98.954743
10,5,2,31622776602,16,20131676475,0.6366195078,99.259497
10,5,3,31622776602,16,20131677857,0.6366195515,99.005412
10,5,4,31622776602,16,20131679760,0.6366196117,98.973468
10,5,5,31622776602,16,20131674584,0.6366194480,99.064989
11,0,1,100000000000,16,63661962171,0.6366196217,315.671637
11,0,2,100000000000,16,63661964419,0.6366196442,312.243270
11,0,3,100000000000,16,63661958821,0.6366195882,312.164220
11,0,4,100000000000,16,63661964560,0.6366196456,313.422908
11,0,5,100000000000,16,63661956739,0.6366195674,313.208050
