exp,trial,num_trials,threads,crosses,P,tiempo
8,0,1,100000000,2,63663493,0.6366349300,0.930707
8,0,2,100000000,2,63659862,0.6365986200,0.911315
8,0,3,100000000,2,63662591,0.6366259100,0.910950
8,0,4,100000000,2,63659411,0.6365941100,0.914979
8,0,5,100000000,2,63662303,0.6366230300,0.920652
8,0,6,100000000,2,63662011,0.6366201100,0.928315
8,0,7,100000000,2,63659788,0.6365978800,0.919842
8,0,8,100000000,2,63662455,0.6366245500,0.915483
8,0,9,100000000,2,63661692,0.6366169200,0.921674
8,0,10,100000000,2,63662104,0.6366210400,0.927281
8,5,1,316227766,2,201321961,0.6366359398,2.936101
8,5,2,316227766,2,201317905,0.6366231136,2.893867
8,5,3,316227766,2,201319244,0.6366273479,2.919103
8,5,4,316227766,2,201319412,0.6366278792,2.899545
8,5,5,316227766,2,201314435,0.6366121405,2.889214
8,5,6,316227766,2,201318912,0.6366261903,2.924381
8,5,7,316227766,2,201316521,0.6366185479,2.915640
8,5,8,316227766,2,201317784,0.6366225347,2.903812
8,5,9,316227766,2,201318001,0.6366232215,2.918274
8,5,10,316227766,2,201316983,0.6366198996,2.907662
9,0,1,1000000000,2,636617354,0.6366173540,9.105675
9,0,2,1000000000,2,636618556,0.6366185560,9.230371
9,0,3,1000000000,2,636619948,0.6366199480,9.118294
9,0,4,1000000000,2,636621205,0.6366212050,9.075769
9,0,5,1000000000,2,636620026,0.6366200260,9.117122
9,0,6,1000000000,2,636619784,0.6366197840,9.152348
9,0,7,1000000000,2,636617991,0.6366179910,9.168551
9,0,8,1000000000,2,636620187,0.6366201870,9.134982
9,0,9,1000000000,2,636618913,0.6366189130,9.098315
9,0,10,1000000000,2,636619506,0.6366195060,9.120644
9,5,1,3162277660,2,2013169144,0.6366199811,29.332893
9,5,2,3162277660,2,2013164701,0.6366185761,29.131709
9,5,3,3162277660,2,2013166079,0.6366190118,28.772175
9,5,4,3162277660,2,2013170784,0.6366204997,29.208482
9,5,5,3162277660,2,2013165781,0.6366189176,28.679676
9,5,6,3162277660,2,2013167992,0.6366196203,29.017841
9,5,7,3162277660,2,2013169208,0.6366199977,28.884531
9,5,8,3162277660,2,2013170425,0.6366203752,29.229112
9,5,9,3162277660,2,2013164954,0.6366186560,28.943875
9,5,10,3162277660,2,2013167027,0.6366193121,29.118420
10,0,1,10000000000,2,6366197937,0.6366197937,90.667329
10,0,2,10000000000,2,6366195296,0.6366195296,90.349618
10,0,3,10000000000,2,6366196463,0.6366196463,92.362644
10,0,4,10000000000,2,6366198821,0.6366198821,91.086913
10,0,5,10000000000,2,6366196029,0.6366196029,92.157203
10,0,6,10000000000,2,6366197112,0.6366197112,91.432876
10,0,7,10000000000,2,6366198443,0.6366198443,90.998512
10,0,8,10000000000,2,6366199301,0.6366199301,91.227408
10,0,9,10000000000,2,6366195018,0.6366195018,91.853297
10,0,10,10000000000,2,6366196722,0.6366196722,90.771564
10,5,1,31622776602,2,20131680291,0.6366196285,288.199687
10,5,2,31622776602,2,20131681824,0.6366196769,289.784789
10,5,3,31622776602,2,20131681438,0.6366196647,287.000191
10,5,4,31622776602,2,20131677716,0.6366195470,284.832872
10,5,5,31622776602,2,20131681980,0.6366196819,287.448717
10,5,6,31622776602,2,20131679324,0.6366195955,285.392181
10,5,7,31622776602,2,20131681052,0.6366196508,288.615942
10,5,8,31622776602,2,20131682631,0.6366197001,286.704528
10,5,9,31622776602,2,20131678792,0.6366195787,289.211357
10,5,10,31622776602,2,20131679985,0.6366196167,287.533610
11,0,1,100000000000,2,63661961765,0.6366196176,904.302894
11,0,2,100000000000,2,63661968922,0.6366196892,902.184115
11,0,3,100000000000,2,63661974510,0.6366197451,907.392288
11,0,4,100000000000,2,63661959102,0.6366195910,903.776591
11,0,5,100000000000,2,63661968145,0.6366196815,905.843210
11,0,6,100000000000,2,63661972211,0.6366197221,908.167492
11,0,7,100000000000,2,63661966348,0.6366196635,901.559874
11,0,8,100000000000,2,63661973652,0.6366197365,906.289511
11,0,9,100000000000,2,63661960874,0.6366196087,903.142855
11,0,10,100000000000,2,63661969485,0.6366196949,904.925662
