exp,trial,num_trials,threads,crosses,P,tiempo
8,0,1,100000000,2,63663841,0.6366384100,1.423887
8,0,2,100000000,2,63662338,0.6366233800,1.434975
8,0,3,100000000,2,63663297,0.6366329700,1.418766
8,0,4,100000000,2,63660233,0.6366023300,1.445400
8,0,5,100000000,2,63662521,0.6366252100,1.428359
8,5,1,316227766,2,201316467,0.6366185663,4.488975
8,5,2,316227766,2,201320586,0.6366315917,4.515058
8,5,3,316227766,2,201315292,0.6366148506,4.579997
8,5,4,316227766,2,201315145,0.6366143857,4.555072
8,5,5,316227766,2,201316801,0.6366196225,4.584249
9,0,1,1000000000,2,636618614,0.6366186140,14.223982
9,0,2,1000000000,2,636619053,0.6366190530,14.140136
9,0,3,1000000000,2,636619375,0.6366193750,14.402535
9,0,4,1000000000,2,636619392,0.6366193920,14.095459
9,0,5,1000000000,2,636621996,0.6366219960,14.166630
9,5,1,3162277660,2,2013163567,0.6366182175,45.091068
9,5,2,3162277660,2,2013167070,0.6366193252,44.858996
9,5,3,3162277660,2,2013170819,0.6366205107,44.798816
9,5,4,3162277660,2,2013171208,0.6366206337,45.265034
9,5,5,3162277660,2,2013169022,0.6366199425,44.815403
10,0,1,10000000000,2,6366193865,0.6366193865,141.088760
10,0,2,10000000000,2,6366194868,0.6366194868,140.422569
10,0,3,10000000000,2,6366196997,0.6366196997,141.550743
10,0,4,10000000000,2,6366195741,0.6366195741,140.620574
10,0,5,10000000000,2,6366193276,0.6366193276,141.660169
10,5,1,31622776602,2,20131679651,0.6366196082,449.585874
10,5,2,31622776602,2,20131679343,0.6366195985,451.227408
10,5,3,31622776602,2,20131682933,0.6366197120,447.134205
10,5,4,31622776602,2,20131679931,0.6366196171,450.950224
10,5,5,31622776602,2,20131682169,0.6366196878,449.155678
11,0,1,100000000000,2,63661962704,0.6366196270,1418.314255
11,0,2,100000000000,2,63661963922,0.6366196392,1413.158502
11,0,3,100000000000,2,63661966278,0.6366196628,1414.410050
11,0,4,100000000000,2,63661913276,0.6366196512,1415.670120
11,0,5,100000000000,2,63661966531,0.6366196332,1416.192473
