exp,trial,num_trials,threads,crosses,P,tiempo
8,0,1,100000000,16,63666897,0.6366689700,0.258431
8,0,2,100000000,16,63666897,0.6366689700,0.250485
8,0,3,100000000,16,63666897,0.6366689700,0.263971
8,0,4,100000000,16,63666897,0.6366689700,0.263500
8,0,5,100000000,16,63660674,0.6366067400,0.256619
8,0,6,100000000,16,63660674,0.6366067400,0.255939
8,0,7,100000000,16,63660674,0.6366067400,0.254861
8,0,8,100000000,16,63665244,0.6366524400,0.254147
8,0,9,100000000,16,63665244,0.6366524400,0.260094
8,0,10,100000000,16,63665244,0.6366524400,0.265281
8,5,1,316227766,16,201314345,0.6366118559,0.780742
8,5,2,316227766,16,201318830,0.6366260387,0.794063
8,5,3,316227766,16,201314814,0.6366133390,0.782416
8,5,4,316227766,16,201317892,0.6366230725,0.794133
8,5,5,316227766,16,201317892,0.6366230725,0.764887
8,5,6,316227766,16,201320233,0.6366304754,0.788735
8,5,7,316227766,16,201319227,0.6366272941,0.793459
8,5,8,316227766,16,201314309,0.6366117421,0.783215
8,5,9,316227766,16,201314322,0.6366117832,0.792611
8,5,10,316227766,16,201314322,0.6366117832,0.779343
9,0,1,1000000000,16,636616695,0.6366166950,2.329783
9,0,2,1000000000,16,636625371,0.6366253710,2.378358
9,0,3,1000000000,16,636624197,0.6366241970,2.328197
9,0,4,1000000000,16,636619017,0.6366190170,2.372796
9,0,5,1000000000,16,636612201,0.6366122010,2.353713
9,0,6,1000000000,16,636616722,0.6366167220,2.446653
9,0,7,1000000000,16,636616690,0.6366166900,2.432453
9,0,8,1000000000,16,636626625,0.6366266250,2.384983
9,0,9,1000000000,16,636613380,0.6366133800,2.261645
9,0,10,1000000000,16,636619890,0.6366198900,2.379826
9,5,1,3162277660,16,2013165281,0.6366187595,7.201037
9,5,2,3162277660,16,2013173522,0.6366213655,7.420320
9,5,3,3162277660,16,2013174594,0.6366217045,7.133681
9,5,4,3162277660,16,2013170500,0.6366204099,7.117205
9,5,5,3162277660,16,2013162961,0.6366180258,7.248586
9,5,6,3162277660,16,2013163923,0.6366183300,7.176759
9,5,7,3162277660,16,2013167971,0.6366196101,7.052750
9,5,8,3162277660,16,2013167681,0.6366195184,7.113824
9,5,9,3162277660,16,2013175458,0.6366219777,7.309770
9,5,10,3162277660,16,2013164227,0.6366184262,7.085125
10,0,1,10000000000,16,6366198074,0.6366198074,22.246315
10,0,2,10000000000,16,6366199067,0.6366199067,22.145068
10,0,3,10000000000,16,6366198648,0.6366198648,22.467739
10,0,4,10000000000,16,6366201033,0.6366201033,22.234944
10,0,5,10000000000,16,6366200299,0.6366200299,22.731660
10,0,6,10000000000,16,6366199276,0.6366199276,22.128470
10,0,7,10000000000,16,6366195599,0.6366195599,22.436636
10,0,8,10000000000,16,6366199023,0.6366199023,22.615828
10,0,9,10000000000,16,6366198631,0.6366198631,22.416991
10,0,10,10000000000,16,6366195709,0.6366195709,22.329114
10,5,1,31622776602,16,20131672842,0.6366193929,70.013118
10,5,2,31622776602,16,20131684650,0.6366197663,70.366219
10,5,3,31622776602,16,20131674052,0.6366194312,70.112280
10,5,4,31622776602,16,20131687224,0.6366198477,70.440169
10,5,5,31622776602,16,20131691624,0.6366199868,69.971044
10,5,6,31622776602,16,20131680220,0.6366196262,70.017686
10,5,7,31622776602,16,20131673383,0.6366194100,70.244247
10,5,8,31622776602,16,20131679694,0.6366196096,70.053356
10,5,9,31622776602,16,20131678072,0.6366195583,69.915979
10,5,10,31622776602,16,20131672360,0.6366193777,69.951790
11,0,1,100000000000,16,63661969073,0.6366196907,221.236904
11,0,2,100000000000,16,63661969419,0.6366196942,220.960127
11,0,3,100000000000,16,63661956719,0.6366195672,224.189729
11,0,4,100000000000,16,63661976192,0.6366197619,221.048248
11,0,5,100000000000,16,63661962806,0.6366196281,221.965406
11,0,6,100000000000,16,63661971328,0.6366197133,222.347815
11,0,7,100000000000,16,63661968214,0.6366196821,223.105296
11,0,8,100000000000,16,63661974590,0.6366197459,221.842507
11,0,9,100000000000,16,63661965987,0.6366196599,222.914008
11,0,10,100000000000,16,63661972645,0.6366197265,220.773621
