Num_Procesos,Ejecucion,Tiempo_Segundos
2,1,0.917361
2,2,1.081021
2,3,1.085890
2,4,1.248535
2,5,1.044793
4,1,1.171157
4,2,0.863543
4,3,1.004399
4,4,1.039652
4,5,0.716276
6,1,1.301455
6,2,1.344610
6,3,1.657292
6,4,1.383522
6,5,1.814695
8,1,10.826809
8,2,9.542080
8,3,10.147836
8,4,11.195995
8,5,10.172701
10,1,16.129609
10,2,10.809044
10,3,12.413380
10,4,14.046879
10,5,14.255127
