Num_Procesos,Ejecucion,Tiempo_Segundos
2,1,1.147949
2,2,1.332958
2,3,1.109806
2,4,1.111524
2,5,1.484021
4,1,1.156339
4,2,1.095592
4,3,0.880708
4,4,1.037876
4,5,1.048055
6,1,1.211866
6,2,1.398386
6,3,1.442261
6,4,1.443554
6,5,1.303196
8,1,9.846903
8,2,11.005197
8,3,12.253931
8,4,10.479990
8,5,9.866032
10,1,19.411045
10,2,11.215043
10,3,20.189892
10,4,10.678370
10,5,12.824028
