Modo,Tamaño_N,Num_Procesos,Ejecucion,Tiempo_Segundos
SINCRONO,1000,6,4,1.853102
SINCRONO,1000,6,5,2.311627
SINCRONO,1000,8,1,17.980977
SINCRONO,1000,8,2,17.787992
SINCRONO,1000,8,3,15.279746
SINCRONO,1000,8,4,15.147716
SINCRONO,1000,8,5,15.418897
SINCRONO,1000,10,1,18.135866
SINCRONO,1000,10,2,24.503118
SINCRONO,1000,10,3,21.600411
SINCRONO,1000,10,4,21.814025
SINCRONO,1000,10,5,23.404019
SINCRONO,2000,2,1,1.512368
SINCRONO,2000,2,2,1.467402
SINCRONO,2000,2,3,1.672278
SINCRONO,2000,2,4,1.562974
SINCRONO,2000,2,5,1.818944
SINCRONO,2000,4,1,1.741550
SINCRONO,2000,4,2,1.866047
SINCRONO,2000,4,3,1.665513
SINCRONO,2000,4,4,1.638240
SINCRONO,2000,4,5,1.715328
SINCRONO,2000,6,1,9.399664
SINCRONO,2000,6,2,2.280820
SINCRONO,2000,6,3,2.644187
SINCRONO,2000,6,4,2.080466
SINCRONO,2000,6,5,2.272001
SINCRONO,2000,8,1,17.586648
SINCRONO,2000,8,2,15.807051
SINCRONO,2000,8,3,14.715041
SINCRONO,2000,8,4,15.148207
SINCRONO,2000,8,5,15.956995
SINCRONO,2000,10,1,20.391848
SINCRONO,2000,10,2,20.761929
SINCRONO,2000,10,3,17.619162
SINCRONO,2000,10,4,17.107026
SINCRONO,2000,10,5,20.336225
SINCRONO,4000,2,1,1.553580
SINCRONO,4000,2,2,1.613225
SINCRONO,4000,2,3,1.717555
SINCRONO,4000,2,4,1.697476
SINCRONO,4000,2,5,1.764412
SINCRONO,4000,4,1,2.019950
SINCRONO,4000,4,2,1.837791
SINCRONO,4000,4,3,1.667521
SINCRONO,4000,4,4,1.832493
SINCRONO,4000,4,5,1.937924
SINCRONO,4000,6,1,2.117384
SINCRONO,4000,6,2,2.073425
SINCRONO,4000,6,3,2.278046
SINCRONO,4000,6,4,2.330814
SINCRONO,4000,6,5,1.824550
SINCRONO,4000,8,1,15.573951
SINCRONO,4000,8,2,14.698945
SINCRONO,4000,8,3,15.553006
SINCRONO,4000,8,4,15.517777
SINCRONO,4000,8,5,16.181028
SINCRONO,4000,10,1,18.373589
SINCRONO,4000,10,2,20.471095
SINCRONO,4000,10,3,18.259856
SINCRONO,4000,10,4,18.511963
SINCRONO,4000,10,5,17.158857
SINCRONO,8000,2,1,1.579710
SINCRONO,8000,2,2,1.778040
SINCRONO,8000,2,3,1.707879
SINCRONO,8000,2,4,1.663351
SINCRONO,8000,2,5,1.581451
SINCRONO,8000,4,1,1.675747
SINCRONO,8000,4,2,1.915005
SINCRONO,8000,4,3,1.632599
SINCRONO,8000,4,4,2.031351
SINCRONO,8000,4,5,1.868995
SINCRONO,8000,6,1,2.256577
SINCRONO,8000,6,2,2.058812
SINCRONO,8000,6,3,1.967881
SINCRONO,8000,6,4,1.971271
SINCRONO,8000,6,5,2.588757
SINCRONO,8000,8,1,16.952454
SINCRONO,8000,8,2,15.232814
SINCRONO,8000,8,3,16.127360
SINCRONO,8000,8,4,15.783591
SINCRONO,8000,8,5,16.630577
SINCRONO,8000,10,1,18.645805
SINCRONO,8000,10,2,17.802643
SINCRONO,8000,10,3,18.122301
SINCRONO,8000,10,4,19.605153
SINCRONO,8000,10,5,20.376833
SINCRONO,12000,2,1,1.610929
SINCRONO,12000,2,2,1.561087
SINCRONO,12000,2,3,2.097399
SINCRONO,12000,2,4,1.906676
SINCRONO,12000,2,5,1.533148
SINCRONO,12000,4,1,1.589809
SINCRONO,12000,4,2,1.818010
SINCRONO,12000,4,3,1.843666
SINCRONO,12000,4,4,1.923542
SINCRONO,12000,4,5,1.726131
SINCRONO,12000,6,1,1.971473
SINCRONO,12000,6,2,2.346205
SINCRONO,12000,6,3,2.077823
SINCRONO,12000,6,4,2.272965
SINCRONO,12000,6,5,2.041483
SINCRONO,12000,8,1,15.879676
SINCRONO,12000,8,2,16.125443
SINCRONO,12000,8,3,16.234757
SINCRONO,12000,8,4,16.471326
SINCRONO,12000,8,5,16.503932
SINCRONO,12000,10,1,20.351977
SINCRONO,12000,10,2,17.353178
SINCRONO,12000,10,3,17.707926
SINCRONO,12000,10,4,20.322930
SINCRONO,12000,10,5,20.374004
