Num_Procesos,Ejecucion,Tiempo_Segundos
2,1,1.553580
2,2,1.613225
2,3,1.717555
2,4,1.697476
2,5,1.764412
4,1,2.019950
4,2,1.837791
4,3,1.667521
4,4,1.832493
4,5,1.937924
6,1,2.117384
6,2,2.073425
6,3,2.278046
6,4,2.330814
6,5,1.824550
8,1,15.573951
8,2,14.698945
8,3,15.553006
8,4,15.517777
8,5,16.181028
10,1,18.373589
10,2,20.471095
10,3,18.259856
10,4,18.511963
10,5,17.158857
