Num_Procesos,Ejecucion,Tiempo_Segundos
2,1,2.572550
2,2,1.583186
2,3,1.922809
2,4,1.816262
2,5,1.984187
4,1,1.511599
4,2,1.522256
4,3,1.841684
4,4,1.443747
4,5,1.551141
6,1,2.605293
6,2,2.252321
6,3,1.877752
6,4,2.039920
6,5,1.886323
8,1,18.068359
8,2,16.618552
8,3,16.498825
8,4,15.506106
8,5,15.289253
10,1,18.713174
10,2,18.854873
10,3,18.463964
10,4,18.210693
10,5,20.278913
