Num_Procesos,Ejecucion,Tiempo_Segundos
2,1,102.266488
2,2,102.963126
2,3,101.909428
2,4,102.469778
2,5,102.730676
4,1,75.377960
4,2,74.592525
4,3,75.982183
4,4,75.465626
4,5,75.177196
6,1,70.896924
6,2,71.316061
6,3,71.163470
6,4,69.976415
6,5,71.454980
8,1,96.582931
8,2,94.854955
8,3,95.434469
8,4,95.743086
8,5,93.943399
10,1,89.772736
10,2,90.242060
10,3,91.105003
10,4,89.615485
10,5,92.641982
