Num_Procesos,Ejecucion,Tiempo_Segundos
2,1,5.551020
2,2,5.324109
2,3,5.021773
2,4,5.224588
2,5,4.952963
4,1,4.560184
4,2,4.029927
4,3,4.125614
4,4,3.870538
4,5,5.049209
6,1,5.657428
6,2,5.165124
6,3,5.946590
6,4,5.276120
6,5,4.778143
8,1,14.678934
8,2,13.258586
8,3,13.632520
8,4,14.033467
8,5,13.881826
10,1,12.885647
10,2,14.184832
10,3,15.657009
10,4,12.591130
10,5,13.160631
