Num_Procesos,Ejecucion,Tiempo_Segundos
2,1,0.961257
2,2,1.143146
2,3,1.085209
2,4,0.983688
2,5,0.970195
4,1,1.087988
4,2,1.113444
4,3,1.091509
4,4,0.967466
4,5,1.088334
6,1,1.543417
6,2,1.398129
6,3,1.270306
6,4,1.274619
6,5,1.541680
8,1,9.896842
8,2,10.170977
8,3,10.092585
8,4,10.583169
8,5,11.536017
10,1,13.824919
10,2,13.164049
10,3,12.701730
10,4,20.063092
10,5,10.483662
