exp,trial,num_trials,procs,crosses,P,tiempo
8,0,1,100000000,2,63661564,0.6366156400,1.409483
8,0,2,100000000,2,63665642,0.6366564200,1.406022
8,0,3,100000000,2,63664360,0.6366436000,1.428024
8,0,4,100000000,2,63662843,0.6366284300,1.411977
8,0,5,100000000,2,63662027,0.6366202700,1.410926
8,5,1,316227766,2,201317385,0.6366214692,4.575085
8,5,2,316227766,2,201314735,0.6366130892,4.478328
8,5,3,316227766,2,201315757,0.6366163210,4.521213
8,5,4,316227766,2,201316741,0.6366194327,4.472593
8,5,5,316227766,2,201318287,0.6366243216,4.541842
9,0,1,1000000000,2,636618516,0.6366185160,14.382496
9,0,2,1000000000,2,636619499,0.6366194990,14.152417
9,0,3,1000000000,2,636615407,0.6366154070,14.268392
9,0,4,1000000000,2,636617636,0.6366176360,14.228490
9,0,5,1000000000,2,636619710,0.6366197100,14.040821
9,5,1,3162277660,2,2013170337,0.6366203583,44.479533
9,5,2,3162277660,2,2013168592,0.6366198065,44.295633
9,5,3,3162277660,2,2013168041,0.6366196323,44.962301
9,5,4,3162277660,2,2013167817,0.6366195614,44.945848
9,5,5,3162277660,2,2013166754,0.6366192253,44.318300
10,0,1,10000000000,2,6366196475,0.6366196475,140.652092
10,0,2,10000000000,2,6366195064,0.6366195064,140.018229
10,0,3,10000000000,2,6366198213,0.6366198213,140.085742
10,0,4,10000000000,2,6366194776,0.6366194776,139.956264
10,0,5,10000000000,2,6366190709,0.6366190709,141.407350
10,5,1,31622776602,2,20131680925,0.6366196485,444.722468
10,5,2,31622776602,2,20131680366,0.6366196308,447.444219
10,5,3,31622776602,2,20131682744,0.6366197060,444.246562
10,5,4,31622776602,2,20131680894,0.6366196475,445.714033
10,5,5,31622776602,2,20131678152,0.6366195608,449.603941
11,0,1,100000000000,2,63661965040,0.6366196504,1397.856503
11,0,2,100000000000,2,63661962699,0.6366196270,1406.762812
11,0,3,100000000000,2,63661963221,0.6366196322,1402.345671
11,0,4,100000000000,2,63661964108,0.6366196411,1399.774328
11,0,5,100000000000,2,63661965987,0.6366196599,1404.883215
