exp,trial,num_trials,procs,crosses,P,tiempo
8,0,1,100000000,32,63665853,0.6366585300,0.319463
8,0,2,100000000,32,63664505,0.6366450500,0.312215
8,0,3,100000000,32,63667611,0.6366761100,0.313281
8,0,4,100000000,32,63657458,0.6365745800,0.319881
8,0,5,100000000,32,63660224,0.6366022400,0.314886
8,5,1,316227766,32,201324141,0.6366428336,0.995465
8,5,2,316227766,32,201320701,0.6366319553,0.993234
8,5,3,316227766,32,201314453,0.6366121974,0.998583
8,5,4,316227766,32,201321434,0.6366342733,0.987769
8,5,5,316227766,32,201317144,0.6366207071,0.994651
9,0,1,1000000000,32,636619779,0.6366197790,3.101273
9,0,2,1000000000,32,636619076,0.6366190760,3.161950
9,0,3,1000000000,32,636612095,0.6366120950,3.103435
9,0,4,1000000000,32,636613096,0.6366130960,3.153607
9,0,5,1000000000,32,636615984,0.6366159840,3.154679
9,5,1,3162277660,32,2013153716,0.6366151023,9.894890
9,5,2,3162277660,32,2013164754,0.6366185928,9.889336
9,5,3,3162277660,32,2013156148,0.6366158714,9.837030
9,5,4,3162277660,32,2013164893,0.6366186368,9.912679
9,5,5,3162277660,32,2013165561,0.6366188480,9.929302
10,0,1,10000000000,32,6366201440,0.6366201440,31.187621
10,0,2,10000000000,32,6366200442,0.6366200442,31.207002
10,0,3,10000000000,32,6366194640,0.6366194640,31.442665
10,0,4,10000000000,32,6366198071,0.6366198071,31.213841
10,0,5,10000000000,32,6366205746,0.6366205746,31.283783
10,5,1,31622776602,32,20131685394,0.6366197898,98.812454
10,5,2,31622776602,32,20131686664,0.6366198300,98.384969
10,5,3,31622776602,32,20131677806,0.6366195499,98.442265
10,5,4,31622776602,32,20131670080,0.6366193056,98.898237
10,5,5,31622776602,32,20131675411,0.6366194741,98.903890
11,0,1,100000000000,32,63661953938,0.6366195394,312.354999
11,0,2,100000000000,32,63661983425,0.6366198343,311.396122
11,0,3,100000000000,32,63661970006,0.6366197001,313.304515
11,0,4,100000000000,32,63661955783,0.6366195578,310.130026
11,0,5,100000000000,32,63661977061,0.6366197706,312.251229
