exp,trial,num_trials,procs,crosses,P,tiempo
8,0,1,100000000,8,63668179,0.6366817900,0.433495
8,0,2,100000000,8,63665584,0.6366558400,0.436684
8,0,3,100000000,8,63659659,0.6365965900,0.440548
8,0,4,100000000,8,63662185,0.6366218500,0.435519
8,0,5,100000000,8,63663125,0.6366312500,0.439840
8,5,1,316227766,8,201314948,0.6366137628,1.383386
8,5,2,316227766,8,201310741,0.6366004591,1.367663
8,5,3,316227766,8,201316805,0.6366196351,1.373087
8,5,4,316227766,8,201320886,0.6366325404,1.377337
8,5,5,316227766,8,201311645,0.6366033177,1.376233
9,0,1,1000000000,8,636620488,0.6366204880,4.391615
9,0,2,1000000000,8,636622765,0.6366227650,4.359085
9,0,3,1000000000,8,636618157,0.6366181570,4.385504
9,0,4,1000000000,8,636623189,0.6366231890,4.339954
9,0,5,1000000000,8,636623183,0.6366231830,4.363915
9,5,1,3162277660,8,2013167806,0.6366195579,13.893914
9,5,2,3162277660,8,2013170030,0.6366202612,13.811789
9,5,3,3162277660,8,2013162910,0.6366180097,14.044372
9,5,4,3162277660,8,2013165828,0.6366189324,13.792380
9,5,5,3162277660,8,2013171069,0.6366205898,14.127164
10,0,1,10000000000,8,6366200706,0.6366200706,43.751066
10,0,2,10000000000,8,6366195787,0.6366195787,43.892776
10,0,3,10000000000,8,6366190380,0.6366190380,43.604476
10,0,4,10000000000,8,6366200345,0.6366200345,43.796537
10,0,5,10000000000,8,6366194139,0.6366194139,43.346781
10,5,1,31622776602,8,20131683186,0.6366197200,139.694673
10,5,2,31622776602,8,20131682716,0.6366197051,138.907521
10,5,3,31622776602,8,20131682433,0.6366196962,139.908703
10,5,4,31622776602,8,20131677972,0.6366195551,139.061144
10,5,5,31622776602,8,20131679051,0.6366195892,139.312704
11,0,1,100000000000,8,63661966103,0.6366196610,427.859537
11,0,2,100000000000,8,63661963480,0.6366196348,442.405753
11,0,3,100000000000,8,63661958585,0.6366195859,442.071805
11,0,4,100000000000,8,63661964227,0.6366196423,440.492388
11,0,5,100000000000,8,63661964098,0.6366196410,441.292500
