exp,trial,num_trials,procs,crosses,P,tiempo
8,0,1,100000000,2,63663302,0.6366330200,0.946736
8,0,2,100000000,2,63662268,0.6366226800,0.914472
8,0,3,100000000,2,63663913,0.6366391300,0.936363
8,0,4,100000000,2,63665494,0.6366549400,0.915007
8,0,5,100000000,2,63662841,0.6366284100,0.925182
8,0,6,100000000,2,63662412,0.6366241200,0.919503
8,0,7,100000000,2,63663109,0.6366310900,0.944207
8,0,8,100000000,2,63662795,0.6366279500,0.932114
8,0,9,100000000,2,63662344,0.6366234400,0.928820
8,0,10,100000000,2,63662988,0.6366298800,0.940276
8,5,1,316227766,2,201319313,0.6366275661,2.937424
8,5,2,316227766,2,201319258,0.6366273922,2.878159
8,5,3,316227766,2,201319744,0.6366289290,2.890719
8,5,4,316227766,2,201316337,0.6366181552,2.916958
8,5,5,316227766,2,201318922,0.6366273354,2.902445
8,5,6,316227766,2,201319411,0.6366288770,2.914072
8,5,7,316227766,2,201318745,0.6366267765,2.887395
8,5,8,316227766,2,201319198,0.6366275409,2.908882
8,5,9,316227766,2,201318659,0.6366265043,2.929541
8,5,10,316227766,2,201319274,0.6366277812,2.896604
9,0,1,1000000000,2,636619348,0.6366193480,9.200467
9,0,2,1000000000,2,636621857,0.6366218570,9.053988
9,0,3,1000000000,2,636617735,0.6366177350,9.092162
9,0,4,1000000000,2,636618070,0.6366180700,9.084773
9,0,5,1000000000,2,636618492,0.6366184920,9.127405
9,0,6,1000000000,2,636619115,0.6366191150,9.166728
9,0,7,1000000000,2,636618879,0.6366188790,9.148297
9,0,8,1000000000,2,636619273,0.6366192730,9.101264
9,0,9,1000000000,2,636618647,0.6366186470,9.134885
9,0,10,1000000000,2,636619055,0.6366190550,9.176510
9,5,1,3162277660,2,2013171263,0.6366206511,28.584389
9,5,2,3162277660,2,2013167786,0.6366195516,28.988174
9,5,3,3162277660,2,2013167393,0.6366194273,28.956973
9,5,4,3162277660,2,2013170479,0.6366204032,28.445424
9,5,5,3162277660,2,2013169027,0.6366197414,28.871229
9,5,6,3162277660,2,2013168154,0.6366194648,28.667913
9,5,7,3162277660,2,2013169688,0.6366199510,28.543181
9,5,8,3162277660,2,2013168422,0.6366195503,28.922560
9,5,9,3162277660,2,2013168950,0.6366197161,28.764448
9,5,10,3162277660,2,2013169559,0.6366199065,28.698372
10,0,1,10000000000,2,6366200475,0.6366200475,90.182871
10,0,2,10000000000,2,6366199333,0.6366199333,90.321733
10,0,3,10000000000,2,6366193678,0.6366193678,90.325278
10,0,4,10000000000,2,6366198073,0.6366198073,90.875056
10,0,5,10000000000,2,6366197225,0.6366197225,90.441812
10,0,6,10000000000,2,6366196541,0.6366196541,90.329114
10,0,7,10000000000,2,6366195830,0.6366195830,90.515098
10,0,8,10000000000,2,6366197018,0.6366197018,90.607445
10,0,9,10000000000,2,6366197389,0.6366197389,90.282067
10,0,10,10000000000,2,6366196695,0.6366196695,90.492381
10,5,1,31622776602,2,20131677382,0.6366195365,288.584530
10,5,2,31622776602,2,20131685025,0.6366197782,285.783101
10,5,3,31622776602,2,20131680749,0.6366196429,284.690631
10,5,4,31622776602,2,20131678819,0.6366195819,288.612912
10,5,5,31622776602,2,20131679921,0.6366196928,286.991520
10,5,6,31622776602,2,20131685944,0.6366198823,287.735104
10,5,7,31622776602,2,20131683157,0.6366197937,285.902775
10,5,8,31622776602,2,20131680421,0.6366197070,288.113905
10,5,9,31622776602,2,20131682705,0.6366197769,286.327599
10,5,10,31622776602,2,20131681692,0.6366197431,287.418083
11,0,1,100000000000,2,63661965472,0.6366196547,908.716379
11,0,2,100000000000,2,63661964940,0.6366196494,899.575370
11,0,3,100000000000,2,63661963437,0.6366196344,909.089672
11,0,4,100000000000,2,63661964291,0.6366196429,905.224511
11,0,5,100000000000,2,63661965837,0.6366196584,907.118430
11,0,6,100000000000,2,63661962714,0.6366196271,902.736294
11,0,7,100000000000,2,63661967125,0.6366196713,909.483219
11,0,8,100000000000,2,63661964018,0.6366196402,901.924885
11,0,9,100000000000,2,63661965302,0.6366196530,906.552137
11,0,10,100000000000,2,63661964689,0.6366196469,904.337406
