exp,trial,num_trials,procs,crosses,P,tiempo
8,0,1,100000000,8,63659326,0.6365932600,0.305579
8,0,2,100000000,8,63664324,0.6366432400,0.308523
8,0,3,100000000,8,63662656,0.6366265600,0.311494
8,0,4,100000000,8,63667026,0.6366702600,0.302954
8,0,5,100000000,8,63664012,0.6366401200,0.309412
8,5,1,316227766,8,201317849,0.6366229365,0.945520
8,5,2,316227766,8,201313764,0.6366100186,0.949857
8,5,3,316227766,8,201310843,0.6366007816,0.945426
8,5,4,316227766,8,201318892,0.6366262348,0.935643
8,5,5,316227766,8,201316205,0.6366190870,0.943721
9,0,1,1000000000,8,636614908,0.6366149080,2.991317
9,0,2,1000000000,8,636623304,0.6366233040,3.057132
9,0,3,1000000000,8,636624473,0.6366244730,3.042274
9,0,4,1000000000,8,636626836,0.6366268360,3.032301
9,0,5,1000000000,8,636622145,0.6366221450,3.028764
9,5,1,3162277660,8,2013161128,0.6366174462,9.578293
9,5,2,3162277660,8,2013169243,0.6366200124,9.448232
9,5,3,3162277660,8,2013164717,0.6366185811,9.551415
9,5,4,3162277660,8,2013164514,0.6366185169,9.451353
9,5,5,3162277660,8,2013167326,0.6366194075,9.612540
10,0,1,10000000000,8,6366199768,0.6366199768,29.925543
10,0,2,10000000000,8,6366192544,0.6366192544,29.573389
10,0,3,10000000000,8,6366191609,0.6366191609,29.686850
10,0,4,10000000000,8,6366195691,0.6366195691,30.099102
10,0,5,10000000000,8,6366194820,0.6366194820,29.844175
10,5,1,31622776602,8,20131683398,0.6366197267,95.500018
10,5,2,31622776602,8,20131681899,0.6366196793,95.478650
10,5,3,31622776602,8,20131683484,0.6366197294,95.761513
10,5,4,31622776602,8,20131683715,0.6366197367,95.130011
10,5,5,31622776602,8,20131682945,0.6366197110,95.386422
11,0,1,100000000000,8,63661971600,0.6366197160,300.786377
11,0,2,100000000000,8,63661961595,0.6366196160,300.056546
11,0,3,100000000000,8,63661963164,0.6366196316,298.571695
11,0,4,100000000000,8,63661963041,0.6366196304,302.003654
11,0,5,100000000000,8,63661962822,0.6366196282,301.525884
