exp,trial,num_trials,procs,crosses,P,tiempo
8,0,1,100000000,32,63659416,0.6365941600,0.217830
8,0,2,100000000,32,63652726,0.6365272600,0.222773
8,0,3,100000000,32,63659981,0.6365998100,0.227871
8,0,4,100000000,32,63653414,0.6365341400,0.227503
8,0,5,100000000,32,63660325,0.6366032500,0.224918
8,5,1,316227766,32,201325591,0.6366474189,0.703308
8,5,2,316227766,32,201313727,0.6366099016,0.693824
8,5,3,316227766,32,201310964,0.6366011642,0.703737
8,5,4,316227766,32,201310093,0.6365984099,0.699969
8,5,5,316227766,32,201316152,0.6366192658,0.699251
9,0,1,1000000000,32,636617289,0.6366172890,2.217469
9,0,2,1000000000,32,636610626,0.6366106260,2.206454
9,0,3,1000000000,32,636609578,0.6366095780,2.228448
9,0,4,1000000000,32,636612461,0.6366124610,2.214655
9,0,5,1000000000,32,636615802,0.6366158020,2.221336
9,5,1,3162277660,32,2013160609,0.6366172821,7.042745
9,5,2,3162277660,32,2013187081,0.6366256532,6.956251
9,5,3,3162277660,32,2013171722,0.6366207963,7.001470
9,5,4,3162277660,32,2013180996,0.6366237290,7.008779
9,5,5,3162277660,32,2013168355,0.6366196792,7.020444
10,0,1,10000000000,32,6366206018,0.6366206018,22.008669
10,0,2,10000000000,32,6366192743,0.6366192743,22.075252
10,0,3,10000000000,32,6366189534,0.6366189534,22.106720
10,0,4,10000000000,32,6366208409,0.6366208409,22.120669
10,0,5,10000000000,32,6366194476,0.6366194476,22.064382
10,5,1,31622776602,32,20131682586,0.6366197010,69.669796
10,5,2,31622776602,32,20131687757,0.6366198645,69.890975
10,5,3,31622776602,32,20131684878,0.6366197735,70.143638
10,5,4,31622776602,32,20131672929,0.6366193956,69.727373
10,5,5,31622776602,32,20131681245,0.6366196583,69.954211
11,0,1,100000000000,32,63661954422,0.6366195442,220.572633
11,0,2,100000000000,32,63661975988,0.6366197599,220.469414
11,0,3,100000000000,32,63661974075,0.6366197408,220.037015
11,0,4,100000000000,32,63661953632,0.6366195363,220.441380
11,0,5,100000000000,32,63661962351,0.6366196235,220.318407
