exp,trial,num_trials,procs,crosses,P,tiempo
8,0,1,100000000,16,63666004,0.6366600400,0.361132
8,0,2,100000000,16,63658128,0.6365812800,0.368756
8,0,3,100000000,16,63661173,0.6366117300,0.366549
8,0,4,100000000,16,63661898,0.6366189800,0.371533
8,0,5,100000000,16,63658715,0.6365871500,0.371954
8,5,1,316227766,16,201316609,0.6366190153,1.130266
8,5,2,316227766,16,201314380,0.6366119666,1.122582
8,5,3,316227766,16,201315321,0.6366149423,1.124493
8,5,4,316227766,16,201319048,0.6366267281,1.125495
8,5,5,316227766,16,201312171,0.6366049811,1.124086
9,0,1,1000000000,16,636621928,0.6366219280,3.281307
9,0,2,1000000000,16,636623360,0.6366233600,3.307818
9,0,3,1000000000,16,636621051,0.6366210510,3.307731
9,0,4,1000000000,16,636619232,0.6366192320,3.393199
9,0,5,1000000000,16,636617981,0.6366179810,3.402590
9,5,1,3162277660,16,2013167304,0.6366193992,10.076246
9,5,2,3162277660,16,2013165836,0.6366189350,10.287756
9,5,3,3162277660,16,2013167853,0.6366195728,10.166263
9,5,4,3162277660,16,2013164164,0.6366184062,10.083341
9,5,5,3162277660,16,2013164765,0.6366185963,9.997183
10,0,1,10000000000,16,6366193502,0.6366193502,31.575239
10,0,2,10000000000,16,6366194141,0.6366194141,31.590318
10,0,3,10000000000,16,6366202459,0.6366202459,35.611717
10,0,4,10000000000,16,6366195213,0.6366195213,32.141231
10,0,5,10000000000,16,6366196498,0.6366196498,31.650994
10,5,1,31622776602,16,20131682830,0.6366197087,100.654444
10,5,2,31622776602,16,20131685492,0.6366197929,101.495705
10,5,3,31622776602,16,20131677960,0.6366195547,99.744521
10,5,4,31622776602,16,20131689634,0.6366199239,99.630855
10,5,5,31622776602,16,20131676004,0.6366194929,99.329527
11,0,1,100000000000,16,63661966771,0.6366196677,313.980358
11,0,2,100000000000,16,63661961895,0.6366196189,313.266663
11,0,3,100000000000,16,63661977591,0.6366197759,311.549886
11,0,4,100000000000,16,63661964969,0.6366196497,310.601408
11,0,5,100000000000,16,63661963595,0.6366196360,311.924913
